001,1
002,1
003,1
004,1
005,1
006,1
007,1
008,1
009,1
010,2
011,1
012,1
013,2
014,2
015,1
016,1
017,1
018,1
019,2
020,2
021,2
022,2
023,2
024,2
025,1
026,1
027,1
028,2
029,2
030,1
031,1
032,2
033,2
034,2
035,2
036,2
037,3
038,1
039,1
040,1
041,2
042,2
043,3
044,3
045,3
046,3
047,3
048,1
049,2
050,2
051,1
052,2
053,2
054,2
055,3
056,3
057,3
058,4
059,2
060,1
061,2
062,2
063,3
064,2
065,2
066,2
067,3
068,4
069,2
070,3
071,3
072,3
073,3
074,3
075,3
076,2
077,2
078,2
079,3
080,4
081,4
082,3
083,2
084,3
085,3
086,4
087,2
088,4
089,4
090,4
091,4
092,2
093,2
094,3
095,3
096,3
097,4
098,4
099,4
100,4
